Experiment,Architecture,Hidden Layers,Dropout,Batch Normalization,Optimizer,Learning Rate,Class Weights,Early Stopping,Epochs Completed,Batch Size,Parameters,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Training Time Seconds
E3_Width_256-128,256-128,2,0.0,False,adam,0.001,False,False,30,256,81921,0.8953810004505507,0.9871316259103844,0.8574672576901484,0.9177421235303086,0.9841977151009053,14.688453912734985
E1_Baseline,128-64,2,0.0,False,adam,0.001,False,False,30,256,32769,0.8922841776880479,0.9866297207743135,0.8533027207749223,0.9151355844622677,0.9837120031644018,11.66509199142456
E2_Depth_4L,128-64-32-16,4,0.0,False,adam,0.001,False,False,30,256,35329,0.8922727713426979,0.986855879958125,0.8530848576767415,0.9151075256735803,0.9830345476856834,12.012379884719849
E9_EarlyStopping,128-64,2,0.0,False,adam,0.001,False,True,50,256,32769,0.8908469781739582,0.987022707831091,0.8508140538457026,0.9138709256434142,0.9832161219889703,22.164378881454468
E3_Width_512-256,512-256,2,0.0,False,adam,0.001,False,False,30,256,229377,0.8904249433960112,0.9866914237940622,0.8504788798485013,0.9135355771870373,0.9822304800050754,28.830829620361328
E2_Depth_3L,128-64-32,3,0.0,False,adam,0.001,False,False,30,256,34817,0.8903279894605369,0.9859710099901943,0.8509732614943732,0.9135116172383085,0.9823438707898255,11.9926176071167
E8_ClassWeights,128-64,2,0.0,False,adam,0.001,True,False,30,256,32769,0.8899686895820145,0.9872119523930108,0.849339288258017,0.9131004661847173,0.9832670378369546,13.392374277114868
E3_Width_64-32,64-32,2,0.0,False,adam,0.001,False,False,30,256,14337,0.8877330458934305,0.9879739893450329,0.8453423383413915,0.9111098065955304,0.9834404620253846,9.784735202789307
E6_LR_0.01,128-64,2,0.0,False,adam,0.01,False,False,30,256,32769,0.8867463970206626,0.9877621863324803,0.8440602978020965,0.9102747153442978,0.9813978850520776,11.63522458076477
E4_Dropout_0.3,128-64,2,0.3,False,adam,0.001,False,False,30,256,32769,0.8824690175144433,0.9887433544209807,0.8368456775123386,0.9064752119374807,0.982381096800046,13.469647407531738
E10_Final_Optimized,256-128,2,0.3,False,adam,0.001,False,False,100,256,81921,0.8821838588806953,0.9897079111128755,0.8355887750228337,0.9061418095575607,0.9825577747947958,66.58523797988892
E4_Dropout_0.5,128-64,2,0.5,False,adam,0.001,False,False,30,256,32769,0.8813055702887517,0.9897310999552662,0.8342648377338886,0.9053724719918522,0.9828365756679239,13.223064184188843
E4_Dropout_0.2,128-64,2,0.2,False,adam,0.001,False,False,30,256,32769,0.880849316474755,0.9893529242178724,0.8339129050368272,0.9050070021643053,0.9823748921906853,13.381733179092407
E4_Dropout_0.4,128-64,2,0.4,False,adam,0.001,False,False,30,256,32769,0.8806268927404315,0.9889500566408967,0.8339296637366873,0.9048482782134334,0.9826405832715855,13.301192283630371
E6_LR_1e-05,128-64,2,0.0,False,adam,1e-05,False,False,30,256,32769,0.8769825654011326,0.9787673714828562,0.8374238526575108,0.9025956432209818,0.9789240954342119,12.340150833129883
E3_Width_32-16,32-16,2,0.0,False,adam,0.001,False,False,30,256,6657,0.8762525592987379,0.9903480138602923,0.8262374205009175,0.900879829698592,0.9834339240376019,9.287454843521118
E2_Depth_1L,128,1,0.0,False,adam,0.001,False,False,30,256,24577,0.8723002606349912,0.9908463111849166,0.8199529080533933,0.8973356136433455,0.9834665991630227,11.259510517120361
E6_LR_0.0001,128-64,2,0.0,False,adam,0.0001,False,False,30,256,32769,0.8721177591093926,0.9906942362995667,0.8198104591045826,0.8971879484816389,0.9826923972063248,12.931018352508545
E5_BatchNorm,128-64,2,0.0,True,adam,0.001,False,False,30,256,33537,0.8716900211587706,0.9905678537054861,0.8192825600589906,0.8968199370774974,0.9829206011704754,14.221125364303589
E7_Optimizer_rmsprop,128-64,2,0.0,False,rmsprop,0.001,False,False,30,256,32769,0.8602608631181526,0.9910528441393023,0.8019289263538935,0.8865164792411583,0.9819416652850714,12.320371627807617
E7_Optimizer_sgd,128-64,2,0.0,False,sgd,0.001,False,False,30,256,32769,0.8565309881887294,0.9874646764727194,0.7993564659253735,0.8835089929056995,0.982679357067443,12.010209321975708
