Experiment,Architecture,Hidden Layers,Dropout,Batch Normalization,Optimizer,Learning Rate,Class Weights,Early Stopping,Epochs Completed,Batch Size,Parameters,Test Accuracy,Test Precision (macro),Test Recall (macro),Test F1 (macro),Training Time Seconds
E6_LR_0.01,128-64,2,0.0,False,adam,0.01,False,False,30,256,33354,0.7394391499991445,0.5098523759755322,0.4123013897922048,0.417856149915235,11.38083815574646
E10_Final_Optimized,512-256,2,0.2,True,adam,0.01,False,True,36,256,234762,0.7490718086471504,0.4874514131601953,0.40314017881253317,0.4101453352812944,52.03120708465576
E3_Width_512-256,512-256,2,0.0,False,adam,0.001,False,False,30,256,231690,0.7385836740979007,0.5965289593204909,0.41292583433365815,0.40694359267627245,27.2909836769104
E5_BatchNorm,128-64,2,0.0,True,adam,0.001,False,False,30,256,34122,0.7354868513353979,0.49511944543816194,0.40491287987854846,0.40102287476457815,14.337721347808838
E2_Depth_4L,128-64-32-16,4,0.0,False,adam,0.001,False,False,30,256,35482,0.7394391499991445,0.48411896688195694,0.4022723862513562,0.3968740654603754,12.299208164215088
E3_Width_256-128,256-128,2,0.0,False,adam,0.001,False,False,30,256,83082,0.737847964822831,0.48814514231949635,0.40481895459839495,0.39503578897276415,15.065954685211182
E9_EarlyStopping,128-64,2,0.0,False,adam,0.001,False,True,50,256,33354,0.7360172463941691,0.4795209026893543,0.3951172180100869,0.38631342757992626,19.174962520599365
E2_Depth_3L,128-64-32,3,0.0,False,adam,0.001,False,False,30,256,35114,0.7355324767167976,0.46975663102518234,0.40056453029616296,0.3860217723683595,10.980738639831543
E1_Baseline,128-64,2,0.0,False,adam,0.001,False,False,30,256,33354,0.7373860078361593,0.45828360935752316,0.39386472437171527,0.38057913059553383,10.411240577697754
E4_Dropout_0.2,128-64,2,0.2,False,adam,0.001,False,False,30,256,33354,0.7305821228349331,0.4677055632421589,0.38805570819579016,0.3738834963998639,12.593080520629883
E3_Width_64-32,64-32,2,0.0,False,adam,0.001,False,False,30,256,14634,0.7307874370512316,0.45380501717375016,0.38519938130984643,0.3669551263590535,8.946914911270142
E4_Dropout_0.3,128-64,2,0.3,False,adam,0.001,False,False,30,256,33354,0.732555420580469,0.46128611643715284,0.37854982883034544,0.3638425672725225,12.357871294021606
E4_Dropout_0.4,128-64,2,0.4,False,adam,0.001,False,False,30,256,33354,0.7310897052030044,0.39049104545942676,0.3715563288364824,0.35643217387589754,12.33190631866455
E8_ClassWeights,128-64,2,0.0,False,adam,0.001,True,False,30,256,33354,0.6837476688281691,0.42815478499278203,0.499747489277013,0.35303797091336175,12.009432077407837
E2_Depth_1L,128,1,0.0,False,adam,0.001,False,False,30,256,25738,0.7224151795643917,0.4047043123801476,0.3672466186361395,0.35164653204690705,9.842663049697876
E3_Width_32-16,32-16,2,0.0,False,adam,0.001,False,False,30,256,6810,0.7245823851808761,0.4016947608938362,0.3669289102047209,0.3515876111568543,8.747897863388062
E4_Dropout_0.5,128-64,2,0.5,False,adam,0.001,False,False,30,256,33354,0.7346712976428788,0.3897752544510926,0.3600546375984512,0.34941319331620296,13.262384414672852
E7_Optimizer_rmsprop,128-64,2,0.0,False,rmsprop,0.001,False,False,30,256,33354,0.7169743528324807,0.4875521042479193,0.3550530762697676,0.3429321412209447,10.929960250854492
E6_LR_0.0001,128-64,2,0.0,False,adam,0.0001,False,False,30,256,33354,0.7153432454474424,0.3709429866176876,0.34517683279981703,0.3358330810432868,11.289134740829468
E7_Optimizer_sgd,128-64,2,0.0,False,sgd,0.001,False,False,30,256,33354,0.6998648348076034,0.2561026535348437,0.28550814033877403,0.2563613596908928,10.49016523361206
E6_LR_1e-05,128-64,2,0.0,False,adam,1e-05,False,False,30,256,33354,0.6925932896470306,0.2575740328207293,0.27866387827059524,0.24529769665904136,10.998967170715332
