,precision,recall,f1-score,support
Analysis,0.0,0.0,0.0,2000.0
Backdoor,0.0,0.0,0.0,1746.0
DoS,0.3349412751677852,0.6510926288323549,0.44233325947263463,12264.0
Exploits,0.7251424715056989,0.5791932440930734,0.6440023308082911,33393.0
Fuzzers,0.6417504756727371,0.12983941926968764,0.21598133833417188,18184.0
Generic,0.9850813743218807,0.98055,0.982810464067355,40000.0
Normal,0.7402694003408077,0.9774464285714286,0.8424835695925874,56000.0
Reconnaissance,0.8211475175275433,0.547040320274521,0.6566361556064073,10491.0
Shellcode,0.7348066298342542,0.23477493380406,0.3558528428093645,1133.0
Worms,0.11538461538461539,0.023076923076923078,0.038461538461538464,130.0
accuracy,0.7394391499991445,0.7394391499991445,0.7394391499991445,0.7394391499991445
macro avg,0.5098523759755322,0.4123013897922048,0.417856149915235,175341.0
weighted avg,0.7431948540799055,0.7394391499991445,0.7108765161734628,175341.0
